"Nombre del anuncio",Día,Alcance,Impresiones,Frecuencia,Compras,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Costo por compra","Inicio del informe","Fin del informe"
"Video Lluvia",2025-07-05,1691,2122,1.25487877,,CLP,3762,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,2.16776626,81.7826087,1772.85579642,,,415,64,23,15,8,7,,2025-07-05,2025-07-05
"Video parejas amor",2025-07-05,1071,1201,1.12138189,,CLP,1828,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,3.41382182,44.58536585,1522.06494588,,,446,47,15,6,6,6,,2025-07-05,2025-07-05
"Video parejas amor",2025-07-05,360,423,1.175,,CLP,630,"7 días tras clic o 1 día tras visualización",,3.07328605,48.46153846,1489.36170213,,,165,20,4,2,2,1,,2025-07-05,2025-07-05
"Video explicando servicio corto",2025-07-04,1243,1335,1.07401448,,CLP,1058,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",27,4.41947566,17.93220339,792.5093633,,,481,328,234,161,79,69,,2025-07-04,2025-07-04
"Video explicando servicio corto",2025-07-04,1038,1134,1.09248555,,CLP,1321,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,4.76190476,24.46296296,1164.90299824,,,352,260,184,134,68,59,,2025-07-04,2025-07-04
"Video Viral TikTok",2025-07-04,2559,3010,1.17624072,,CLP,3550,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",43,3.62126246,32.56880734,1179.40199336,,,850,139,71,45,34,20,,2025-07-04,2025-07-04
"Video parejas amor",2025-07-04,224,260,1.16071429,,CLP,415,"7 días tras clic o 1 día tras visualización",3,3.84615385,41.5,1596.15384615,,,85,16,3,2,2,2,,2025-07-04,2025-07-04
"Video parejas amor",2025-07-04,1063,1211,1.1392286,,CLP,1699,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,2.97274979,47.19444444,1402.97274979,,,435,45,14,6,5,3,,2025-07-04,2025-07-04
"Video explicando servicio corto",2025-07-04,1,1,1,,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,,,,,,,,2025-07-04,2025-07-04
"Video parejas amor",2025-07-04,889,1167,1.31271091,,CLP,2435,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,1.88517566,110.68181818,2086.54670094,,,298,30,11,7,6,6,,2025-07-04,2025-07-04
"Video pareja dcto",2025-07-04,226,254,1.12389381,,CLP,316,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.96850394,63.2,1244.09448819,,,74,9,2,1,1,,,2025-07-04,2025-07-04
"Video explicando servicio corto",2025-07-04,1034,1085,1.04932302,,CLP,1242,"7 días tras clic o 1 día tras visualización",26,4.60829493,24.84,1144.70046083,2,621,365,246,165,114,55,47,,2025-07-04,2025-07-04
"Video pareja dcto",2025-07-04,72,74,1.02777778,,CLP,98,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.7027027,49,1324.32432432,,,30,,,,,,,2025-07-04,2025-07-04
"Video parejas dcto",2025-07-04,58,61,1.05172414,,CLP,101,"7 días tras clic o 1 día tras visualización",1,9.83606557,16.83333333,1655.73770492,,,34,3,1,1,1,,,2025-07-04,2025-07-04
"Video parejas amor",2025-07-04,1157,1309,1.13137424,,CLP,1816,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.5210084,55.03030303,1387.31856379,,,441,40,13,8,7,5,,2025-07-04,2025-07-04
"Video pareja dcto",2025-07-04,1,1,1,,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2000,,,1,,,,,,,2025-07-04,2025-07-04
"Video pareja dcto",2025-07-04,55,60,1.09090909,,CLP,57,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.66666667,57,950,,,20,1,,,,,,2025-07-04,2025-07-04
"Video explicando servicio corto",2025-07-04,2,2,1,,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,1,1,1,,,,,2025-07-04,2025-07-04
"Video Lluvia",2025-07-04,1309,1701,1.29946524,,CLP,3184,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,2.4691358,75.80952381,1871.84009406,,,325,50,20,14,9,8,,2025-07-04,2025-07-04
"Video Lluvia",2025-07-04,28,29,1.03571429,,CLP,41,"7 días tras clic o 1 día tras visualización",1,6.89655172,20.5,1413.79310345,,,8,1,1,,,,,2025-07-04,2025-07-04
"Video parejas amor",2025-07-04,1,1,1,,CLP,6,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,6000,,,1,,,,,,,2025-07-04,2025-07-04
"Video parejas amor",2025-07-03,3,4,1.33333333,,CLP,1,"7 días tras clic o 1 día tras visualización",,25,1,250,,,,,,,,,,2025-07-03,2025-07-03
"Video pareja dcto",2025-07-03,1850,2446,1.32216216,,CLP,4805,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,2.24856909,87.36363636,1964.43172527,,,723,77,19,8,5,5,,2025-07-03,2025-07-03
"Video Lluvia",2025-07-03,14,16,1.14285714,,CLP,28,"7 días tras clic o 1 día tras visualización",,0,0,1750,,,4,1,,,,,,2025-07-03,2025-07-03
"Video explicando servicio corto",2025-07-03,209,239,1.14354067,,CLP,353,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,4.18410042,35.3,1476.9874477,,,69,54,41,29,18,16,,2025-07-03,2025-07-03
"Video explicando servicio corto",2025-07-03,176,182,1.03409091,,CLP,134,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,6.04395604,12.18181818,736.26373626,,,65,47,30,22,10,8,,2025-07-03,2025-07-03
"Video explicando servicio corto",2025-07-03,2231,2480,1.11160914,,CLP,1973,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",48,4.43548387,17.93636364,795.56451613,,,804,564,388,238,135,113,,2025-07-03,2025-07-03
"Video Viral TikTok",2025-07-03,2954,3480,1.17806364,1,CLP,4064,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",50,2.90229885,40.23762376,1167.81609195,4,1016,989,167,81,51,31,19,4064,2025-07-03,2025-07-03
"Video explicando servicio corto",2025-07-03,2178,2379,1.0922865,1,CLP,2077,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",46,4.07734342,21.41237113,873.05590584,2,1038.5,762,539,378,257,125,112,2077,2025-07-03,2025-07-03
"Video explicando servicio corto",2025-07-03,2003,2187,1.09186221,,CLP,2198,"7 días tras clic o 1 día tras visualización",44,5.25834476,19.11304348,1005.02972108,1,2198,716,483,342,243,129,111,,2025-07-03,2025-07-03
"Video parejas amor",2025-07-03,983,1103,1.12207528,,CLP,2159,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,3.08250227,63.5,1957.38893926,,,383,43,12,5,5,4,,2025-07-03,2025-07-03
"Video Lluvia",2025-07-03,1882,2338,1.24229543,,CLP,4350,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,2.60906758,71.31147541,1860.56458512,,,493,86,42,25,16,10,,2025-07-03,2025-07-03
"Video parejas dcto",2025-07-03,12,12,1,,CLP,22,"7 días tras clic o 1 día tras visualización",,0,0,1833.33333333,,,7,,,,,,,2025-07-03,2025-07-03
"Video Lluvia",2025-07-03,26,28,1.07692308,,CLP,43,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1535.71428571,,,7,2,1,,,,,2025-07-03,2025-07-03
"Video parejas amor",2025-07-02,2,2,1,,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,5000,,,2,,,,,,,2025-07-02,2025-07-02
"Video Lluvia",2025-07-02,1565,2064,1.31884984,,CLP,3641,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,3.05232558,57.79365079,1764.0503876,,,438,78,34,22,20,12,,2025-07-02,2025-07-02
"Video explicando servicio corto",2025-07-02,863,961,1.11355736,,CLP,1155,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,4.78668054,25.10869565,1201.87304891,,,295,232,162,110,61,57,,2025-07-02,2025-07-02
"Video parejas dcto",2025-07-02,6,8,1.33333333,,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,750,,,3,,,,,,,2025-07-02,2025-07-02
"Video Lluvia",2025-07-02,23,26,1.13043478,,CLP,25,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.84615385,25,961.53846154,,,4,,,,,,,2025-07-02,2025-07-02
"Video Viral TikTok",2025-07-02,2723,3366,1.23613661,,CLP,3732,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",58,4.09982175,27.04347826,1108.73440285,,,942,176,70,44,34,19,,2025-07-02,2025-07-02
"Video explicando servicio corto",2025-07-02,1915,2174,1.13524804,,CLP,2172,"7 días tras clic o 1 día tras visualización",46,4.32382705,23.10638298,999.0800368,,,623,442,323,222,113,106,,2025-07-02,2025-07-02
"Video Lluvia",2025-07-02,15,15,1,,CLP,17,"7 días tras clic o 1 día tras visualización",1,13.33333333,8.5,1133.33333333,,,2,1,1,,,,,2025-07-02,2025-07-02
"Video explicando servicio corto",2025-07-02,2398,2687,1.1205171,,CLP,2150,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,2.8284332,28.28947368,800.14886491,,,809,544,385,244,132,119,,2025-07-02,2025-07-02
"Video pareja dcto",2025-07-02,1410,1838,1.3035461,1,CLP,3060,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,3.10119695,53.68421053,1664.8531012,2,1530,536,75,28,21,16,13,3060,2025-07-02,2025-07-02
"Video explicando servicio corto",2025-07-02,2363,2599,1.09987304,,CLP,2076,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",50,4.11696806,19.40186916,798.76875721,,,793,571,392,242,129,117,,2025-07-02,2025-07-02
"Video parejas amor",2025-07-02,658,802,1.21884498,,CLP,1676,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.24438903,93.11111111,2089.7755611,,,252,25,8,3,2,2,,2025-07-02,2025-07-02
"Video parejas amor",2025-07-01,2,2,1,,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,1500,,,1,,,,,,,2025-07-01,2025-07-01
"Video Lluvia",2025-07-01,13,16,1.23076923,,CLP,51,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,3187.5,,,2,1,,,,,,2025-07-01,2025-07-01
"Video pareja dcto",2025-07-01,977,1128,1.15455476,,CLP,2604,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,3.0141844,76.58823529,2308.5106383,,,379,50,21,14,13,10,,2025-07-01,2025-07-01
"Video parejas dcto",2025-07-01,6,6,1,,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,1666.66666667,,,4,1,,,,,,2025-07-01,2025-07-01
"Video explicando servicio corto",2025-07-01,1903,2153,1.13137152,,CLP,2151,"7 días tras clic o 1 día tras visualización",31,4.22666047,23.63736264,999.07106363,,,687,500,348,222,110,93,,2025-07-01,2025-07-01
"Video parejas amor",2025-07-01,512,572,1.1171875,,CLP,2247,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,4.8951049,80.25,3928.32167832,,,205,35,8,6,4,3,,2025-07-01,2025-07-01
"Video Viral TikTok",2025-07-01,3133,3628,1.15799553,,CLP,3970,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",70,4.41014333,24.8125,1094.26681367,,,1144,209,106,70,38,21,,2025-07-01,2025-07-01
"Video Lluvia",2025-07-01,1713,2202,1.2854641,,CLP,4088,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,2.36148955,78.61538462,1856.49409628,,,434,71,34,27,18,18,,2025-07-01,2025-07-01
"Video explicando servicio corto",2025-07-01,1965,2468,1.25597964,,CLP,3521,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",67,6.11831442,23.31788079,1426.66126418,,,812,654,478,343,193,177,,2025-07-01,2025-07-01
"Video explicando servicio corto",2025-07-01,2270,2473,1.08942731,2,CLP,2107,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",36,2.91144359,29.26388889,852.00161747,2,1053.5,749,525,386,225,106,95,1053.5,2025-07-01,2025-07-01
"Video explicando servicio corto",2025-07-01,2175,2427,1.11586207,,CLP,2133,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,3.29625052,26.6625,878.86279357,,,765,547,385,269,135,122,,2025-07-01,2025-07-01
"Video Lluvia",2025-07-01,26,28,1.07692308,,CLP,28,"7 días tras clic o 1 día tras visualización",1,3.57142857,28,1000,,,6,,,,,,,2025-07-01,2025-07-01
"Video parejas dcto",2025-06-30,7,7,1,,CLP,8,"7 días tras clic o 1 día tras visualización",,14.28571429,8,1142.85714286,,,5,,,,,,,2025-06-30,2025-06-30
"Video explicando servicio corto",2025-06-30,2138,2331,1.09027128,,CLP,2005,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",42,3.9039039,22.03296703,860.14586015,,,821,601,436,288,142,129,,2025-06-30,2025-06-30
"Video explicando servicio corto",2025-06-30,2133,2275,1.0665729,,CLP,2084,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",37,4.30769231,21.26530612,916.04395604,,,790,573,418,266,130,122,,2025-06-30,2025-06-30
"Video Viral TikTok",2025-06-30,4197,4734,1.12794853,,CLP,4635,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",54,3.18969159,30.69536424,979.08745247,1,4635,1454,230,93,60,40,34,,2025-06-30,2025-06-30
"Video Lluvia",2025-06-30,21,22,1.04761905,,CLP,63,"7 días tras clic o 1 día tras visualización",,4.54545455,63,2863.63636364,,,7,2,1,1,,,,2025-06-30,2025-06-30
"Video explicando servicio corto",2025-06-30,1508,1671,1.10809019,,CLP,1918,"7 días tras clic o 1 día tras visualización",48,6.46319569,17.75925926,1147.81567923,,,559,428,308,192,105,88,,2025-06-30,2025-06-30
"Video parejas amor",2025-06-30,1097,1236,1.12670921,,CLP,2276,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.15533981,58.35897436,1841.42394822,,,436,43,14,8,7,6,,2025-06-30,2025-06-30
"Video pareja dcto",2025-06-30,1752,2277,1.29965753,,CLP,5447,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,2.10803689,113.47916667,2392.18269653,,,696,88,21,12,12,11,,2025-06-30,2025-06-30
"Video explicando servicio corto",2025-06-30,122,139,1.13934426,,CLP,225,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.87769784,56.25,1618.70503597,,,48,36,22,14,11,10,,2025-06-30,2025-06-30
"Video Lluvia",2025-06-30,1601,2099,1.31105559,,CLP,4875,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",36,3.43020486,67.70833333,2322.53454026,1,4875,461,86,46,33,20,15,,2025-06-30,2025-06-30
"Video parejas amor",2025-06-30,4,4,1,,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,750,,,1,,,,,,,2025-06-30,2025-06-30
"Video Lluvia",2025-06-30,37,39,1.05405405,,CLP,33,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.56410256,33,846.15384615,,,7,,,,,,,2025-06-30,2025-06-30
"Video explicando servicio corto",2025-06-29,2072,2349,1.13368726,,CLP,2060,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",34,4.04427416,21.68421053,876.96892295,,,842,600,437,277,138,125,,2025-06-29,2025-06-29
"Video explicando servicio corto",2025-06-29,1540,1690,1.0974026,1,CLP,1747,"7 días tras clic o 1 día tras visualización",37,5.85798817,17.64646465,1033.72781065,,,612,451,317,209,119,110,1747,2025-06-29,2025-06-29
"Video Lluvia",2025-06-29,1782,2363,1.32603816,,CLP,4079,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",29,3.34320779,51.63291139,1726.19551418,,,543,104,45,24,17,13,,2025-06-29,2025-06-29
"Video pareja dcto",2025-06-29,1795,2445,1.36211699,,CLP,4971,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,2.00408998,101.44897959,2033.12883436,,,727,83,23,13,8,7,,2025-06-29,2025-06-29
"Video parejas dcto",2025-06-29,4,6,1.5,,CLP,5,"7 días tras clic o 1 día tras visualización",,0,0,833.33333333,,,,,,,,,,2025-06-29,2025-06-29
"Video Viral TikTok",2025-06-29,3642,4204,1.15431082,,CLP,4409,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",71,3.9961941,26.24404762,1048.76308278,,,1379,252,108,62,38,22,,2025-06-29,2025-06-29
"Video Lluvia",2025-06-29,37,40,1.08108108,,CLP,53,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1325,,,5,,,,,,,2025-06-29,2025-06-29
"Video explicando servicio corto",2025-06-29,2077,2346,1.12951372,,CLP,2035,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,4.21994885,20.55555556,867.43393009,,,828,595,431,285,153,132,,2025-06-29,2025-06-29
"Video Lluvia",2025-06-29,10,12,1.2,,CLP,11,"7 días tras clic o 1 día tras visualización",,0,0,916.66666667,,,5,1,,,,,,2025-06-29,2025-06-29
"Video explicando servicio corto",2025-06-29,248,308,1.24193548,,CLP,437,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,2.92207792,48.55555556,1418.83116883,,,94,82,61,42,25,24,,2025-06-29,2025-06-29
"Video parejas amor",2025-06-29,1026,1203,1.17251462,,CLP,2095,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,1.99501247,87.29166667,1741.47963425,,,382,39,10,5,3,3,,2025-06-29,2025-06-29
"Video explicando servicio corto",2025-06-28,132,160,1.21212121,,CLP,193,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,2.5,48.25,1206.25,,,49,42,30,23,14,13,,2025-06-28,2025-06-28
"Video Viral TikTok",2025-06-28,2161,2527,1.16936603,,CLP,3468,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",41,3.64068065,37.69565217,1372.37831421,,,775,148,68,34,27,16,,2025-06-28,2025-06-28
"Video explicando servicio corto",2025-06-28,1100,1215,1.10454545,,CLP,1439,"7 días tras clic o 1 día tras visualización",22,4.36213992,27.1509434,1184.36213992,,,414,288,197,128,69,64,,2025-06-28,2025-06-28
"Video parejas amor",2025-06-28,3,3,1,,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,1,,,,,,,2025-06-28,2025-06-28
"Video pareja dcto",2025-06-28,1101,1524,1.38419619,,CLP,3843,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,2.75590551,91.5,2521.65354331,,,490,49,17,8,6,5,,2025-06-28,2025-06-28
"Video explicando servicio corto",2025-06-28,1432,1557,1.0872905,,CLP,1592,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.46820809,29.48148148,1022.47912653,,,555,388,278,166,78,71,,2025-06-28,2025-06-28
"Video Lluvia",2025-06-28,29,31,1.06896552,,CLP,37,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.22580645,37,1193.5483871,,,7,,,,,,,2025-06-28,2025-06-28
"Video Lluvia",2025-06-28,1158,1485,1.28238342,,CLP,3063,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,3.2996633,62.51020408,2062.62626263,,,341,65,32,24,18,12,,2025-06-28,2025-06-28
"Video parejas amor",2025-06-28,905,1031,1.13922652,,CLP,1696,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,2.71580989,60.57142857,1645.00484966,,,380,24,8,4,2,2,,2025-06-28,2025-06-28
"Video Lluvia",2025-06-28,14,16,1.14285714,,CLP,30,"7 días tras clic o 1 día tras visualización",,0,0,1875,,,4,3,2,1,,,,2025-06-28,2025-06-28
"Video explicando servicio corto",2025-06-28,1430,1532,1.07132867,,CLP,1503,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",41,5.54830287,17.68235294,981.07049608,,,559,397,283,196,119,100,,2025-06-28,2025-06-28
"Video parejas dcto",2025-06-28,3,3,1,,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,666.66666667,,,2,,,,,,,2025-06-28,2025-06-28
"Video parejas amor",2025-06-27,34,34,1,,CLP,47,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.94117647,47,1382.35294118,,,12,1,,,,,,2025-06-27,2025-06-27
"Video parejas amor",2025-06-27,48,49,1.02083333,,CLP,84,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,8.16326531,21,1714.28571429,,,19,2,2,1,1,1,,2025-06-27,2025-06-27
"Video Lluvia",2025-06-27,374,427,1.14171123,,CLP,805,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,2.81030445,67.08333333,1885.24590164,,,137,22,9,3,1,,,2025-06-27,2025-06-27
"Video explicando servicio corto",2025-06-27,1426,1498,1.05049088,,CLP,1333,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,4.33911883,20.50769231,889.85313752,,,567,402,281,188,104,95,,2025-06-27,2025-06-27
"Video Lluvia",2025-06-27,686,819,1.19387755,,CLP,1308,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,4.51770452,35.35135135,1597.06959707,,,222,36,20,12,9,9,,2025-06-27,2025-06-27
"Video explicando servicio corto",2025-06-27,1203,1392,1.15710723,,CLP,2198,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",32,4.81321839,32.80597015,1579.02298851,,,474,377,262,179,105,90,,2025-06-27,2025-06-27
"Video Lluvia",2025-06-27,288,333,1.15625,,CLP,640,"7 días tras clic o 1 día tras visualización",3,4.5045045,42.66666667,1921.92192192,,,95,14,8,5,2,2,,2025-06-27,2025-06-27
"Video Lluvia",2025-06-27,635,685,1.07874016,,CLP,942,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.91970803,47.1,1375.18248175,,,178,20,7,3,3,1,,2025-06-27,2025-06-27
"Video explicando servicio corto",2025-06-27,956,1028,1.07531381,,CLP,955,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,3.69649805,25.13157895,928.98832685,,,385,280,192,128,70,63,,2025-06-27,2025-06-27
"Video pareja dcto",2025-06-27,1,1,1,,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,,,,,,,,2025-06-27,2025-06-27
"Video parejas dcto",2025-06-27,11,11,1,,CLP,20,"7 días tras clic o 1 día tras visualización",,0,0,1818.18181818,,,3,,,,,,,2025-06-27,2025-06-27
"Video Lluvia",2025-06-27,1267,1692,1.33543804,,CLP,3677,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",30,3.95981087,54.88059701,2173.1678487,,,382,75,35,21,17,12,,2025-06-27,2025-06-27
"Video Viral TikTok",2025-06-27,1725,2060,1.1942029,,CLP,3647,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",38,3.93203883,45.02469136,1770.38834951,2,1823.5,621,128,52,31,21,11,,2025-06-27,2025-06-27
"Video explicando servicio corto",2025-06-27,977,1073,1.09825998,,CLP,1688,"7 días tras clic o 1 día tras visualización",19,5.03261883,31.25925926,1573.15936626,2,844,377,260,187,116,72,66,,2025-06-27,2025-06-27
"Video parejas amor",2025-06-27,522,593,1.13601533,,CLP,1154,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,2.52951096,76.93333333,1946.03709949,,,213,25,11,9,7,6,,2025-06-27,2025-06-27
"Video pareja dcto",2025-06-27,33,34,1.03030303,,CLP,40,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,5.88235294,20,1176.47058824,,,16,1,,,,,,2025-06-27,2025-06-27
"Video pareja dcto",2025-06-27,577,751,1.30155979,,CLP,1987,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.52996005,104.57894737,2645.80559254,,,233,28,6,4,4,4,,2025-06-27,2025-06-27
"Video parejas amor",2025-06-27,31,35,1.12903226,,CLP,93,"7 días tras clic o 1 día tras visualización",,2.85714286,93,2657.14285714,,,12,2,,,,,,2025-06-27,2025-06-27
"Video Lluvia",2025-06-26,1696,2250,1.32665094,,CLP,4161,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,3.91111111,47.28409091,1849.33333333,,,493,84,38,25,19,14,,2025-06-26,2025-06-26
"Video parejas amor",2025-06-26,957,1184,1.23719958,,CLP,1905,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,2.53378378,63.5,1608.9527027,,,442,46,9,6,6,4,,2025-06-26,2025-06-26
"Video Viral TikTok",2025-06-26,1518,2137,1.40777339,,CLP,4506,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,3.50959289,60.08,2108.56340664,,,575,146,74,47,27,21,,2025-06-26,2025-06-26
"Video explicando servicio corto",2025-06-26,2590,3183,1.22895753,,CLP,4431,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",94,5.87496073,23.69518717,1392.08294062,,,1087,848,634,435,249,227,,2025-06-26,2025-06-26
"Video Lluvia",2025-06-26,104,108,1.03846154,,CLP,184,"7 días tras clic o 1 día tras visualización",1,2.77777778,61.33333333,1703.7037037,,,24,2,1,1,1,1,,2025-06-26,2025-06-26
"Video Lluvia",2025-06-26,18,21,1.16666667,,CLP,103,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,19.04761905,25.75,4904.76190476,,,7,1,,,,,,2025-06-26,2025-06-26
"Video explicando servicio corto",2025-06-26,63,67,1.06349206,,CLP,51,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,761.19402985,,,25,16,12,10,2,2,,2025-06-26,2025-06-26
"Video Lluvia",2025-06-26,12,13,1.08333333,,CLP,61,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,15.38461538,30.5,4692.30769231,,,4,,,,,,,2025-06-26,2025-06-26
"Video parejas amor",2025-06-26,280,342,1.22142857,,CLP,626,"7 días tras clic o 1 día tras visualización",5,3.80116959,48.15384615,1830.40935673,,,123,12,6,3,2,1,,2025-06-26,2025-06-26
"Video pareja dcto",2025-06-26,1150,1401,1.21826087,,CLP,1979,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,2.78372591,50.74358974,1412.56245539,,,483,55,15,14,11,9,,2025-06-26,2025-06-26
"Video parejas dcto",2025-06-26,37,39,1.05405405,,CLP,49,"7 días tras clic o 1 día tras visualización",,5.12820513,24.5,1256.41025641,,,17,1,,,,,,2025-06-26,2025-06-26
"Video parejas amor",2025-06-26,960,1166,1.21458333,,CLP,1869,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,3.00171527,53.4,1602.91595197,,,412,43,10,4,2,2,,2025-06-26,2025-06-26
"Video explicando servicio corto",2025-06-26,1240,1366,1.1016129,,CLP,1137,"7 días tras clic o 1 día tras visualización",34,6.36896047,13.06896552,832.35724744,,,503,330,230,153,86,74,,2025-06-26,2025-06-26
"Video pareja dcto",2025-06-25,30,33,1.1,,CLP,50,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,6.06060606,25,1515.15151515,,,13,1,,,,,,2025-06-25,2025-06-25
"Video pareja dcto",2025-06-25,693,823,1.18759019,,CLP,1402,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.67314702,63.72727273,1703.5236938,,,289,32,14,11,11,8,,2025-06-25,2025-06-25
